epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,9022.28,0.61861,0.42678,1.07831,0.84608,0.69627,0.79286,0.48106,1.43467,1.04972,1.70135,0.0038125,0.0038125,0.0038125
127,9091.29,0.61658,0.42924,1.08222,0.85044,0.69631,0.79229,0.48171,1.43516,1.05235,1.70238,0.003763,0.003763,0.003763
128,9160.72,0.61007,0.41907,1.07254,0.85123,0.69414,0.79319,0.47988,1.43689,1.05378,1.70411,0.0037135,0.0037135,0.0037135
129,9229.96,0.61336,0.4251,1.07436,0.85546,0.69199,0.79397,0.47864,1.43412,1.05235,1.7023,0.003664,0.003664,0.003664
130,9299.18,0.60514,0.41926,1.06757,0.85788,0.69177,0.79336,0.48089,1.438,1.05982,1.707,0.0036145,0.0036145,0.0036145
131,9368.66,0.60074,0.4146,1.07147,0.80805,0.72557,0.79203,0.47967,1.45067,1.07356,1.72036,0.003565,0.003565,0.003565
132,9437.76,0.5995,0.41426,1.06322,0.81876,0.7259,0.79173,0.47819,1.45465,1.06633,1.72295,0.0035155,0.0035155,0.0035155
133,9507.16,0.59448,0.41365,1.06237,0.80827,0.72317,0.79245,0.47936,1.45018,1.06012,1.71879,0.003466,0.003466,0.003466
134,9576.23,0.58764,0.40797,1.06068,0.8012,0.72753,0.7936,0.48001,1.4428,1.04768,1.7144,0.0034165,0.0034165,0.0034165
135,9645.54,0.59332,0.40935,1.05978,0.80775,0.72726,0.79434,0.47947,1.44148,1.04716,1.7148,0.003367,0.003367,0.003367
136,9714.65,0.58277,0.39841,1.05264,0.80501,0.74223,0.79243,0.47938,1.44006,1.03796,1.71571,0.0033175,0.0033175,0.0033175
137,9783.7,0.58031,0.40293,1.05485,0.80766,0.73819,0.79203,0.47935,1.43848,1.02885,1.71603,0.003268,0.003268,0.003268
